Index,Title,Content
238,Zelesta,Zelesta pianoaren antzeko konposaketa duen musika tresna bat da baina teklek aktibatutako bere mailuek metalezko plakak jotzen dituzte hari tinkatuak barik Plaka hauek jotzerakoan honetarako balio duen zurezko kaxa batean erresonantzia bat eragiten dute soinu goxo eta eder bat sortuz Zelesta 1866 eta 1868 bitartean Parisko Auguste Mustel armonio sortzaileak asmatutako metalofono bat da eta dirudienez bere jatorria Javako genderrean du Piano bertikal txiki baten itxura hartzen du non hariak zurezko erresonantzia hodiak zeharkatzen dituzten metalezko laminengatik ordezkatuak izan diren Teklen akzioaren ondorioz mailu batzuk jotzen dituzte laminak pianoan bezala itzaltzaileak aktibatzea ahalbidetzen duen pedal bat du Laminek purutasun handiko soinuak sortzen dituzte erresonatzaileen bibrazioek leunduak Bere erregistroak 4 eta 5 oktaba bitartean hartzen du lehenengo tekla beti Do notan hasiz pianoko Do2 notaren baliokidea ereduren batzuk batez ere Yamaharen 5 12a ereduak 5 oktaba terdirarte hedatzen dutelarik fa notaraino Pianoaren kasuan bezala eredu esklusiboko zelestak ere badaude mignon kola piano formakoa baita piano batek hainako erregistroa 8 oktaba duten zelestak ere baina arrazoi honegatik hain zelesta handiak eraikitzeak oso erresonantzia handikoak bihurtzen ditu eta entzumenarentzako oso gogaikarriak eta ondorioz ez dira ia sekula eraikitzen Konposatzaile frantziar eta errusiarrak izan ziren musika tresna hau orkestra sinfoniko batean erabiltzen lehenak Ospetsuak dira Piotr Ilitx Txaikovskiren Intxaurkraskagailua Maurice Ravel ziburutarraren Ma Mère lOye edo Richard Straussen Arrosaren zalduna bezalako lanetan aurki daitezkeen adibideak Zelesta Harry Potterren filmeen Soinu Bandaren hasieran entzuten den musika tresna da  Kanpo estekak 
239,Epigonus heracleus,Epigonus heracleus Epigonus generoko animalia da Arrainen barruko Epigonidae familian sailkatzen da  Banaketa   Erreferentziak   Ikus gainera  Epigonus Epigonidae  Kanpo estekak  FishBaseorg
240,Piramide pentagonal elongatu,Geometrian piramide pentagonal elongatua Johnsonen solidoetako bat da J9 piramide pentagonal baten oinarriari prisma pentagonal bat lotuz eraiki daitekeena Johnsonen solidoak 92 dira eta Norman Johnsonek izendatu eta deskribatu zituen 1966an  Poliedro duala  Piramide pentagonal elongatuaren dualak 11 aurpegi ditu 5 hiruki pentagono bat eta 5 trapezio Edozein piramide elongatutan lortzen den solidoa topologikoki baina ez geometrikoki autoduala da  Kanpo estekak  Ingelesez Weisstein Eric W Elongated pentagonal pyramid MathWorlden
241,"Murdock udalerria, Douglas konderria (Illinois)",Murdock udalerria Ameriketako Estatu Batuetako Illinois estatuko udalerri bat da Douglas konderrian Azken zentsuaren arabera 210 biztanle zituen 3088 milia karratu 800 km2 eremuan  Ekonomia  2020ko zentsuaren arabera Murdock udalerrian 113 etxebizitza zeuden Per capita dirusarrerak 22020 estatubatuar dolar ziren  Kanpo estekak 
242,Tuulos,Tuulos lakuen herria ekintza asko eta asko antolatzen dira egunero non bertako biztanleak parte hartzen duten eta denak basoetan zehar ibilaldia edo arrantza egitera joaten diren lakuetara Naturarekin zeharo bat datorren herria da aire fresko eta garbia Lurralde birjin bat  Zer ikusi   Tuulos eliza  Erdiaroko eliza 1478 urtean eraikia zurazko Finlandiako elizen artelanean buruan kokatzen dugu bertako arkitektura tipikoaren erakusgarri  Kanpo estekak 
243,Peristedion amblygenys,Peristedion amblygenys Peristedion generoko animalia da Arrainen barruko Peristediidae familian sailkatzen da  Banaketa   Erreferentziak   Ikus gainera  Peristedion Peristediidae  Kanpo estekak  FishBaseorg
244,Saco (Maine),Saco Ameriketako Estatu Batuetako hiri bat da York konderrian kokatuta dago Maine estatuan 16822 biztanle ditu 13665 kilometro koadroko azaleran banatuta  Ikus gainera  York konderria  Kanpo estekak 
245,Tetraodon implutus,Tetraodon implutus Tetraodon generoko animalia da Arrainen barruko Tetraodontidae familian sailkatzen da  Banaketa   Erreferentziak   Ikus gainera  Tetraodon Tetraodontidae  Kanpo estekak  FishBaseorg
246,Seven Springs (Pennsylvania),Seven Springs Pennsylvaniako borough bat da Fayette konderrian kokatua dago 2010ean 26 biztanle zituen 280 kilometro koadrotan banatuta  Ikus gainera  Fayette konderria  Kanpo estekak 
247,Marainviller,Marainviller Frantziako udalerri bat da Meurthe eta Mosela departamenduan dagoena Ekialde Handia eskualdean 2013an 695 biztanle zituen  Demografia   Biztanleria  2007an Marainviller udalerrian erroldatutako biztanleak 695 ziren Familiak 270 ziren horien artean 60 pertsona bakarrekoak ziren 36 bakarrik bizi ziren gizonak eta 24 bakarrik bizi ziren emakumeak 95 semealabarik gabeko familiak ziren 99 semealabak dituzten bikoteak ziren eta 16 semealabak dituzten gurasobakarreko familiak ziren Biztanleriak denboran ondorengo grafikoan ageri den bilakaera izan du Ikus jatorrizko Wikidatako eskaera eta iturriak  Etxebizitza  2007an 307 etxebizitza zeuden 272 familiaren etxebizitza nagusia ziren 8 bigarren erresidentzia ziren eta 27 hutsik zeuden 261 etxeak ziren eta 43 apartamentuak ziren 272 etxebizitza nagusietatik 236 bere jabearen bizilekua ziren 31 alokairuan okupaturik zeuden eta 5 doan lagata zeuden 3 etxek gela bat zuten 8 etxek bi zituzten 32 etxek hiru zituzten 53 etxek lau zituzten eta 177 etxek bost zituzten 217 etxek euren parking plaza propioa zuten azpian 113 etxetan ibilgailu bat zegoen eta 136 etxetan bat baino gehiago zituzten  Biztanleriapiramidea  2009an sexu eta adinaren araberako biztanleriapiramidea hau zen  Ekonomia  2007an lan egiteko adina zuten pertsonak 453 ziren horien artean 331 aktiboak ziren eta 122 inaktiboak ziren 331 pertsona aktiboetatik 314 lanean zeuden 176 gizon eta 138 emakume eta 17 langabezian zeuden 5 gizon eta 12 emakume 122 pertsona inaktiboetatik 44 erretiraturik zeuden 43 ikasten zeuden eta 35 bestelako inaktibo gisa sailkaturik zeuden  Diru sarrerak  2009an Marainviller udalerrian 284 unitate fiskal zeuden 7475 pertsonek osaturik Pertsona bakoitzeko dirusarrera fiskalaren mediana urteko 17143 euro zen  Ekonomia jarduerak  2007an zeuden 19 komertzioetatik 2 erauzte enpresak ziren 1 bestelako produktu industrialen fabrikazioko enpresa zen 3 eraikuntza enpresak ziren 8 ibilgailuen saltze eta konpontze enpresak ziren 1 garraio enpresa zen 1 finantziazio enpresa zen 1 higiezinen enpresa zen eta 2 zerbitzu enpresak ziren2009an zeuden norbanakoentzako 4 zerbitzu publikoetatik 1 posta bulegoa zen 1 ibilgailuen konpontzeko eta nekazaritza tresnetako lantokia 1 margolaria eta 1 argiketaria2000 urtean Marainviller udalerrian 10 nekazaritzaustiategi zeuden 560 hektarea erabiltzen  Hezkuntza eta osasun ekipamenduak  2009an lehenhezkuntzako eskola bat zegoen  Gertuen dauden herriak  Diagrama honek gertuen dauden herriak erakusten ditu  Erreferentziak   Kanpo estekak  FrantsesezRésumé statistique INSEEren udalerriko estatistiken laburpena FrantsesezÉvolution et structure de la population INSEEren udalerriko datuen fitxa FrantsesezFrance par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri
248,Soreasuko San Sebastian eliza,Soreasuko San Sebastian eliza Gipuzkoako Azpeitia udalerrian dagoen eliza bat da Herrigunean dago  Historia  Azkoitiko elizaren garaikidea da 1534ko dokumentua baten arabera Pedro Alzegari agindu zitzaion elizako berreraikuntza lanak Hainbat maisu etorri ziren bata bestearen segidan lan honetaz 1541ean Domingo Olozaga arduratu zen arte honek ordea Hernaniko elizarekin kontratu bat sinatu ostean 1545ean Azpeitiarekiko bere konpromisoak bertan behera utzi zituelarik Hasitako lanen geldotasunak Udala bilera garrantzitsu bat egitera behartu zuen 1568ko urriaren 7an eta bertan egina zegoen eraikinaren zati bat aprobetxatuz eliza berri baten eraikitzeko erabaki zuten Iruñeko Gotzainaren onespena lortu zuen eta lan berria Pedro eta Martin Armendiakoa hargin maisuei agindu zitzaien Hauen hautatzean 1570eko urrian elizak habearte bakarra ala hiru izango dituen erabakitzeko uzten da Izatez Iruñeko Gotzain Don Diego Ramirezen ideia izan zen Azpeitira 1568an eginiko bisitaren ondoren aholku hau eman zuena eliza berrian diseinuaren arabera hiru habeartetakoa egitea eta ez zedila habearte bakarrekoa egin sortu zitezkeen arazoak zirela eta eta oinarritu behar zireneko pilareak biribilak izan zitezela eta errematean jartzen ziren diseinu eta aginduekin bat etor zitezelaHaiek berak dira 1571ko urriaren 2an Udalaren onarpena eskuratzeko aurkezten duten diseinu xehean zehazten dutenak hiru habeartetako eliza habearte bakarrekoa baino hobea da bai betikotasunerako nahiz horrelako eraikin baten osperako eta inongo norbanakoren kalterik gabe gainera erabilgarri eta mesedegarriagoa da norbanakoarentzat zein orokorrerako zeren eta pilare toralak txikiagoak egingo dira eta bi pilareerdiak kendu eta burualdeko hormara gerturatuko dira eta hori dela eta burualdea itzal handikoa eta zabala geldituko da eta delako elizak lehenagokotik duen horretako zabalera eta luzera berean geldituko da eta abar Aizarnan Zestoan Deban eta Seguran esku hartu zuen Martin Armendia Errezilgoa maisu oso preziatuak berak erabaki zuen eta altura bereko hiru habeartetako eliza baten diseinua aurkeztu zuen elizaren neurriak luzeran zabaleran eta altueran zehaztuz eta euskarri zilindrikoetan burualdearen ondoan zeuden bi pilareerdien eraldaketa eraikin osoan zehar geroago eraiki beharko zirenak guztira zortzi zutabe doriko nolakoak izango ziren erabakirik Proiektu hau ez zen berehalakoan gauzatu Lan honen aurrean bata bestearen segidan hainbat hargin aritu ziren Migel Bolibarkoa Joan Apoitakoa Pedro Mendiolakoa eta hauek Armendiaren diseinua gauzatuz joan ziren ez ordea auzi haserrekorrik gabe eta hauei zor zaiena da ziur asko gangen eraikuntza berau XVII mendera arte amaitu ez zen lan luzea izan zen Habearte nagusiak 830 mko zabalera du eta alboetakoek 450 mkoa habearteak 645 mko luzerarekin presbiteriotik gertuen daudenak izan ezik 1090 m neurtzen baitute Absidea poligonala da eta elizaren oinetan Azkoitikoaren antzekoa den korua eraiki zen  Bakardadearen Kapera  XVI mendeko kapera honetan dauden horma pinturak Pizkunde garaikoak dira eta elizaren altxor handienetariko bat ditra Euskal Herrian ere horrelako adibide gutxi daude Konpontzeko lan batzuk abiatu ziren eta orduan paretetan margoak agertu ziren Lanak XIX mendetik estalita zeuden Miren de Miguelen arabera kaperaren ikertzailea bertan erabilitako urrea inkei Perun lapurtutakoa izan zen Francisco Pizarrorekin ibilitako Saez Elola ekarritakoa Elolak hil aurretik kapera hori eraikitzeko agindu zuen  Iruditegia   Erreferentziak   Ikus gainera  Gipuzkoako kultura ondasunak Eliza kolumnarioak Euskal Herrian  Kanpo estekak 
249,Gonzalo Manso de Zúñiga,Gonzalo Manso de Zúñiga Txurruka Haro Errioxa 1902ko irailaren 25a  Donostia Gipuzkoa 1982ko urtarrilaren 14a Errioxako idazle eta argitaratzailea izan zen  Biografia  Marrazki eta Arkitekturako ikasketak egin ondoren Zuzenbidekoak amaitu zituen Valladoliden eta Madrilen Euskal historiaz etnografiaz eta folkloreaz arduratuta Euskal Herriko bazter guztietan ibili zen materiala jasotzen 1944 urtean Peñafloridako kondearekin Alvaro del Valle Lertsundi Amadeo Delaunet Jose Mujika Ciriquiáin Gaiztarro eta Joaquín Irizarrekin batera Euskalerriaren Adiskideak elkartea berriro antolatu zuen Elkarte horretako sail batzuetako kide izan zen Aranzadi Gipuzkoako Erretratugileen Elkartea Francisco de Ibero Institutua 1950 urtean Donostiako San Telmo Museoko zuzendari izendatu zuten Museo horretako hainbat piezari buruzko monografiak eman zituen argitara El suondoko Muebles populares vascos Piezas de Pasajes Estelas discoidales Historia del Museo Las arcas de caballos La Laya eta San Telmo 1976  Erreferentziak 
250,Tomicodon boehlkei,Tomicodon boehlkei Tomicodon generoko animalia da Arrainen barruko Gobiesocidae familian sailkatzen da  Banaketa   Erreferentziak   Ikus gainera  Tomicodon Gobiesocidae  Kanpo estekak  FishBaseorg
251,Angel and Devil,Angel and Devil Olivero Toscanik 1991 urtean Benetton Groupentzat sortutako iragarkia da  Oliviero Toscaniren bizitza  Oliviero Toscani Milanen jaio zen 1942an eta argazkilaritza eta grafikagintza ikasi zituen Università Delle Arti di Zurigon Argazkilaritzan bere aita zen Fedele Toscaniren pausuak jarraitzen sartu zen izan ere Corriere della Sera egunkariko argazkiberriemailea zen aita Egun haren sorkuntza gaitasuna nazioartean da ezaguna eta marka garrantzitsu askoren publizitate kanpainetan irudigile izan da Irabazitako sari esanguratsuenen artean daude lau Golden Lions eta UNESCOren Sari Handia 1982 urtetik 2000 urtera United Colors of Benetton enpresaren irudia identitatea komunikazio estrategia eta onlineko agerpena eraman ditu aurrera mundu osoan zehar oso famatu bilakatu du marka 2007 urtetik Toscanik Razza Umana izeneko proiektu handi bat darama aurrera bertan gizakion morfologia eta baldintza ezberdinak argazki eta bideo bidez erakusten ditu Argi nabarmentzen ditu giza espresio ezaugarri fisiko somatiko sozial eta kultural guztiak  Benetton Groupen testuinguru historikoa  Benetton Group enpresak modako eta kirolerako arropa ekoitzi eta saltzen du emakume gizon eta haurrentzat Artilea eta algodoia izaten dira material ohikoenak eta gehienbat Europan Asian eta Amerikan saltzen dute Arropa guztia United Colors of Benetton Adult and Kids Undercolors Sisley Sisley Young Playlife edo Killer Loope marken pean saltzen du enpresak Bestetik lehengaiak ere ekoitzi eta saltzen dituzte oihala haria etiketak erdiekoitzitako produktuak Industria zerbitzuak ere eskaintzen dituzte Enpresa 1965 urtean sortu zen eta egoitza nagusia Ponzano Veneton daukate Italian Bertatik 6400 denda kudeatzen dizute nazioarteko 120 herrialde ezberdinetan  Benetton eta Oliviero Toscani  Oliviero Toscani 1982an Benettonekin lanean hasi zenetik etengabe publizitatearen mugak zabaltzeko ahalegina egin zuela esaten da Hala ere 2000 urteko Sentenced to Death kanpainak gainbehera suposatuko du artistarentzat eta Benetton Groupekin zuen harremana guztiz hautsiko da Dena den berdin esan daiteke Toscani izan zela XX mendeko iragarki berritzaile eta esperimental ugari sortu zituen artista2018an bere kanpaina berriena aurkeztu zuen berriro ere Benettonekin Bertan lau kontinente eta hamahiru herrialde ezberdinetako 28 eskolaume azaltzen ziren etorkizuneko gizarteari forma emango diotenak Toscaniren esanetan Errealitatea islatzea du helburu Iraganean esan zuen bezala HIESaz ari ginenean ez zen gai polemikoa errealitatea baizik  Publizitatearen testuinguru historikoa  Benetton Groupek mundura esportatzeko kontsumitzaile guztientzat baliagarria den mezu bakar eta unibertsal bat erabiltzen du non bizi diren bere azalaren kolorea eta hitz egiten duten hizkuntza aintzat hartu gabe 1990eko hamarkadaren hasieran Benetton Groupek komunikazio korporatiboko kanpainetarako ikuspegi berri bat sortu zuen Horrela produktuak ez ziren inoiz erakusten eta mezuak gai zibil sozial eta politikoei buruzkoak ziren garaiko publizitate exekutiboek saihestuko lituzketen gaiak jorratuz Horren arrazoia da komunikazioan Benetton bide berriak jorratzen ahalegintzen dela aurrera begiratzen esperimentatzen eta gainerakoei aurre hartzen Gizartegaiak aukeratuz adierazpenaskatasuna aktiboki sustatuz eta unibertsalki kausa humanitarioei ikusgarritasuna emanez Benettonek zentzua eta balioa eman dio bere markari Horrela bere bezeroen artean ez ezik mundu osoan zabaldu den elkarrizketa iraunkor bat eraiki du Gauzak horrela Toscanik Benetton markarentzat egindako kanpainak 90eko hamarkadan modan jarri zen shock advertising delakoaren barnean kokatzen direla esan genezake Hau da Toscanik burututako iragarkiak xedetaldearentzat probokazio hutsa dira Hain zuzen ere shock advertisingek funtsean kontsumitzailea harritzea eta hunkitzea bilatzen du irudi polemikoen erabilerarekin eztabaida sortu eta hauek asko hedatuz Toscanik publizitate kreatiboa haratago eramaten du kontsumitzailearengan sentsazio ezberdinak lortzeko helburuarekin  Iragarkiaren forma eta edukia  Toscaniren Angel and Devil iragarkian lehen planoa erabili da subjektuek hartzen dutelarik garrantzia Izan ere kolore zuriko ingurune lau batean daude kokaturik beltza eta txurien arteko kontrastea azpimarratzeko xedez Horretarako egileak argiztapen gogorra darabil argi iturria eskuinetan kokatuta dagoelarik Honen helburua itzalak sortzea izango da aipaturiko txuri eta beltzekin jolastuz Bestalde ez du inolako tipografiarik erabiltzen Benettonen logoa salbu Azken hau irudiaren eskuin aldean dago erdialdetik apur bat beherago Hortaz ikus daiteke autoreak ez duela mezurik idazten mezua irudiarekin berarekin ematen baitu Beraz garrantzia handia emango dio sinbologiari Iragarki honekin Toscanik ikusarazi nahi izan zuena pertsona beltzak hedabideetan modu negatiboan erakusten zirela zen eta horretarako deabrua eta aingeruaren irudi zaharrez baliatu zen aingerua ongiaren isla izanik eta deabrua aldiz gaizkiarena Hori dela eta alde batetik ume zuri bat agertzen da kizkur ilehoriekin aingerua irudikatuz hau da jende zuriaren irudia ongiarekin lotuz Beste aldetik berriz ume beltz bat agertzen da adarrekin deabrua irudikatzeko eta beltzak gaizkiarekin lotuz Hala ere umeen espresioetan arreta jarriz gero konturatzen gara Toscani gure usteekin jokatzen dabilela izan ere ume beltzak espresio lasaia du aingeruarekin lotuko genukeen bezalako itxura eta zuriak aldiz irribarre maltzurra daukala deabruarena bezalakoa Ez du titularrik irudiarekin dena esaten du Hori kontuan hartuta kontraesana izango da iragarkiaren oinarria eta horri esker iragarkia modu sakonago batean interpretatuko dugu Kanpainaren zatirik onena horixe baita bi gauza kontrajarri esatea aldi berean eta horren bidez ikuslea pentsatzera bultzatzea Irudiaren mezua oso indartsua da baina aldi berean lehen aldiz ikusitakoan jaso dezakegun mezua ez da Toscanik espresatu nahi zuena Izan ere etnia ezberdineko bi ume besarkada batean elkartuta ikusi ditzakegu baina sakonago begiratuz kontura gaitezke ez duela hasieran dirudien arrazen arteko maitasuna aldarrikatzen ezkutuko mezu bat bizik Mezua arrazista gisa ere interpretatu genezake baina Toscaniren gainerako lanak ezagutuz gero badakigu ez dela horrela ezaguna baita irudien bidez gai polemikoak mahai gainean jartzeagatik gizartean eztabaida sortu eta kritika egiteko helburuarekin  Egiten zaizkion kritikak  Oliviero Toscaniren kanpainak polemikoak eta sozialki kritikatuak izateagatik ezagunak dira Iragarki hauek sexua politika HIESa arraza diskriminazioa edota homosexualitatea bezalako gaiak garatzen zituzten garai horretan hain normalizatuak ez zeudenak arreta deitzeko eta bidegabekeriak aldarrikatzeko helburuarekin Hala ere Angel and Devil iragarkia ez da Olivierok sortutako kanpaina eztabaidagarrienaAngel and Devil iragarkiak iritzi ezberdinak sorrarazi zituen batzuen ustez arrazen arteko harmonia irudikatzen du bi haurren kontrastearen eta batasunaren bitartez Bestalde iragarkia kutsu arrazista eta estereotipoak bultzatzen zituela ziotenak agertu ziren eta ondorioz Child Essence eta YM enpresak Angel and Devil iragarkia ukatu zuten nahiz eta Olivierok kontzeptu hauek kritikatu nahi izan Hala ere iragarkia onartu zuten enpresak ere egon ziren Cosmopolitan Elle eta Parenting and Seventeen esaterako  Erreferentziak 
252,Micropogonias megalops,Micropogonias megalops Micropogonias generoko animalia da Arrainen barruko Sciaenidae familian sailkatzen da  Banaketa   Erreferentziak   Ikus gainera  Micropogonias Sciaenidae  Kanpo estekak  FishBaseorg
253,.mx,mx Mexikori dagokion herrialdeentzako goi mailako domeinua da  Bigarren mailako domeinuak  mx domeinuen erregistroa hurrengo bigarren mailako domeinuen gaineko hirugarren mailako domeinuetan oinarritzen da commx Komertziala gaur egun aske com bezalaxe netmx Interneteko hornitzaileak orgmx Irabazi asmorik gabeko erakundeak edumx Hezkuntza gobmx Gobernua  Kanpo estekak  Ingelesez mx whois informazioa IANAren webgunean
254,Jabbeke,Jabbeke nederlanderaz ahoskatua ˈjɑbeːkə Belgikako mendebaldean dagoen hiria da Mendebaldeko Flandria probintzian dagoena Udalerriak herri hauek hartzen ditu barnean Jabbeke bera Snellegem Stalhille Varsenare eta Zerkegem 2013ko urtarrilaren 1ean 13781 biztanle zituen  Herritar ospetsua  Romain Maes 1935eko Frantziako Tourraren irabazlea Zerkegemen jaioa 1913an Constant Permeke margolari espresionista  Kanpo estekak  Nederlanderaz Webgune ofiziala
255,Teresa Hurtado,Teresa Hurtado jaiotzaz María Teresa Hurtado Carrillo Madril 1947ko uztailaren 17a madrildar aktorea da Mary Carrillo aktorearen alaba Fernanda Hurtadoren ahizpa bikia eta Paloma Hurtadoren ahizpa Hiru ahizpaek Hurtado ahizpak izeneko hirukote komikoa osatu zuten Beste ahizpa nagusi bat ere izan zuen Alicia 1998an hila  Biografia  Artistafamilia batean jaio zen eta Bi hilabete besterik ez zituela Madre Alegría lanean agertoki batera igo zen lehenbizikoz Fernanda ahizpa bikiarekin batera Eszenatokietan trebatua hirurogeiko hamarkadatik ibilbide garrantzitsua egin zuen telebistan eta Narciso Ibáñez Serradorrekin izandako lankidetza nabarmendu behar da Historias para no dormir El muñeco izeneko atala 1966 baita Novela saioan ere 1967tik aurrera Fernanda bikiarekin tandema osatu zuen bai antzerkian La muchacha del sombrerito rosa Víctor Ruiz Iriarterena bai telebistan La casa de los Martínez seriean 1971ra arte eta urtebete geroago TVErentzako musikaikuskizunean TVE Divertido siglo 19721973 Fernando García de la VegarenaBere karrera zinematografikoa aldiz oso laburra izan zen eta dozenaerdi titulu besterik ez zuen egin Ibáñez Serradorren La residencial 1969 lanean nabarmendu zen  Hurtado ahizpak hirukotea  1979an Hurtado ahizpak umorezko hirukotea osatu zuen Paloma eta Fernanda ahizpekin 1982 eta 1994 bitartean ospe handia lortu zuten TVEren Un dos tres responda otra vez lehiaketan parte hartu zutelako Bertan Teresak bizia eman zion Inmaculada La seño takañona pertsonaiari neskazahar pedante eta sasijakintsuari Pedro Sempsonek 1976 eta 1978 bitartean programaren bigarren denboraldian interpretatutako Lapiz irakaslearen pertsonaiaren oinordekoa  Antzerkia  Antzerkira itzulita 1991n Antonio Galaren Los buenos días perdidos 1991 eta José Luis Alonso de Santosen Hora de visita 1995 interpretatuko zituen biak Mary Carrillo amarekin bateraGeroago 1994an Antena 3 Compuesta y sin novio telesailean parte hartu zuen Lina Morgan protagonista zuela 2012ko abenduan garunhodietako erasoa jasan zuen  Erreferentziak   Kanpo estekak 
256,Proctoporus,Proctoporus Gymnophthalmidae familiako narrasti genero bat da Hego Amerikaren iparraldean bizi dira  Espezieak  Proctoporus bolivianus Werner 1910 Proctoporus cephalolineatus GarciaPerez  Yustiz 1995 Proctoporus chasqui Chávez SiuTing Duran  Venegas 2011 Proctoporus guentheri Boettger 1891 Proctoporus pachyurus Tschudi 1845 Proctoporus sucullucu Doan  Castoe 2003 Proctoporus unsaacae Doan  Castoe 2003 Proctoporus xestus Uzzell 1969  Kanpo estekak 
257,"Grant udalerria, Story konderria (Iowa)",Grant udalerria Ameriketako Estatu Batuetako Iowa estatuko udalerri bat da Story konderrian Azken zentsuaren arabera 1692 biztanle zituen 353 milia karratu 91 km2 eremuan  Ekonomia  2020ko zentsuaren arabera Grant udalerriak 618 etxebizitza zeuden Per capita dirusarrerak 36886 estatubatuar dolar ziren  Kanpo estekak 
258,Valamugil robustus,Valamugil robustus Valamugil generoko animalia da Arrainen barruko Mugilidae familian sailkatzen da  Banaketa  Espezie hau Agulhasko itsaslasterran aurki daiteke  Erreferentziak   Ikus gainera  Valamugil Mugilidae  Kanpo estekak  FishBaseorg
259,Isay,Isay Eskoziako gaeleraz Ìosaigh Eskoziako iparmendebaldean dagoen Barruko Hebridak uhartediko uharte txiki bat da Loch Dunvegan itsas aintziran kokatzen da Skye uharteko iparmendebaldeko kostaldetik kilometro bat eskasera Uharte honetan ez da inor bizi Bitxikeri gisara 1960ko hamarkadan uharte hau denbora labur batez Donovan eskoziar abeslariaren jabegoa izan zen  Kanpo estekak 
260,Michałowo udalerria,Michałowo ˌmʲixaˈwɔvɔ  Poloniako Podlasiako voivoderriko landahiri udalerri bat da Białystok barrutian kokatuta 41002 km²ko azalera du eta 2017ko datuen arabera 6785 biztanle zituen  Kanpo estekak  Udalaren webgunea
261,Fairbanks Ranch (Kalifornia),Fairbanks Ranch Ameriketako Estatu Batuetako erroldak esleitutako leku bat da San Diego konderrian kokatuta dago Kalifornia estatuan 3148 biztanle ditu 5079 kilometro koadroko azaleran banatuta  Ikus gainera  San Diego konderria  Kanpo estekak 
262,Amphisbaena nigricauda,Amphisbaena nigricauda Amphisbaena generoko animalia da Narrastien barruko Amphisbaenidae familian sailkatuta dago  Erreferentziak   Kanpo estekak  TIGR Reptile Database in Species 2000 and ITIS Catalogue of Life 2011 Annual Checklist  Ikus gainera  Amphisbaena Amphisbaenidae
263,Identitario-mugimendua,Identitariomugimendua baita ere Identitarismo nazionalismo zuriaren mugimendua da Frantzian agertu zen eta egun Europan zein IparAmerikan dago zabalduta Zurien nagusitasunaren aldekoak dira eskuin muturreko eta neonazien taldeekin lotura izanik  Historia  Identitarioak hasieran Bloc Identitaire taldearen gazte aldea ondoren Generación Identitaire izenarekin Nouvelle Droite eta Unité Radicale barruan sortutako gazte mugimendu gisa sortu ziren biak ala biak eskuin muturreko alderdiak Mugimendu honen ustez mendebaldeko herrialdetan boterea eskuratzeko musulmanek bultzatutako konspirazioa gertatzen ari da Zentzu horretan antiyihad mugimendua da eta Genozidio zuriaren konspirazioaren teoria defenditzen dute Denborarekin aipatutako talde horietatik bereizi egin da bere izaera propioa izanik Italian bestetik 2012an Generazione Identitaria izenarekin antolatu ziren Haien artean ohikoak dira etorkinen aurkako martxen antolaketak  Erreferentziak   Kanpo estekak  FrantsesezGénération Identitaire Frantzian IngelesezGeneration Identity Erresuma Batuan eta Irlandan
264,La casa de papel,La casa de papel euskaraz Paperezko etxea espainiar telesail bat da Vancouver Media ekoiztetxeak Antena 3 telebista katearentzat egina 2017ko maiatzaren 2an estreinatu zen telebistan eta saioko protagonista nagusiak Úrsula Corberó Itziar Ituño eta Álvaro Morte dira Saioaren bigarren zatiko atalak telebistan igorri ostean Netflix plataformak telesaila erosi eta atal berriak ekoitzi zituen  Argumentua  Irakaslea deituriko pertsonaia misteriotsu bat zerbait handia eta bakarra prestatzen ari da historiako lapurreta handiena burutzea Horretarako zortzi pertsonak osatutako talde bat errekrutatzen du eta guztiek baldintza bakarra dute inork ez du ezer galtzeko Zer deritzozu 2400 milioi euro lortzeari galdetzen dio Irakasleak Tokiori lapurretan aditua den eta polizia bere atzetik dabilen neska gazte jakitunari Tokio Irakasleak errekrutatutako pertsonen taldera batuko da Taldea osatzen dutenak honakoak dira Berlin buruzagia Mosku faltsutzean aditua Rio informatikaria Nairobi faltsutzailea Denver Moskuren semea Helsinki eta Oslo indar basatia Bost hilabeteko errekrutatzean pauso xehetasun eta aukera guztiak memorizatu ondoren azkenean Moneta eta Tinbre Fabrika Nazionalean hamaika eguneko itxialdira iritsiko da taldea dirua eskuratzeko asmoz armadagorputzez inguraturik eta 67 bahiturekin  Aktore nagusiak   Denboraldiak eta atalak   Lehen denboraldia 2017   Lehen zatia   Bigarren zatia   Bigarren denboraldia 20192020   Hirugarren zatia   Laugarren zatia   Kanpo estekak  Webgune ofiziala Atal guztiak ikusgai La casa de papel erabiltzailearen orria Facebook zerbitzuan La casa de papel erabiltzailearen profila Twitter zerbitzuan
265,Hylophilus muscicapinus,Hylophilus muscicapinus Hylophilus generoko animalia da Hegaztien barruko Vireonidae familian sailkatua dago  Erreferentziak   Ikus gainera  Hylophilus Vireonidae  Kanpo estekak  World Bird Names
266,Storrie (Kalifornia),Storrie Ameriketako Estatu Batuetako erroldak esleitutako leku bat da Plumas konderrian dago Kalifornia estatuan 4 biztanle ditu 0217322 kilometro koadroko azaleran banatuta  Ikus gainera  Plumas konderria  Kanpo estekak 
